timestamp,source,content,label
2025-07-26T14:55:01.192894,journalctl,Jul 26 14:54:41 bharch unix_chkpwd[60645]: password check failed for user (rksha),1
2025-07-26T14:55:01.263727,journalctl,Jul 26 14:54:41 bharch sudo[60631]: pam_unix(sudo:auth): authentication failure; logname=rksha uid=1000 euid=0 tty=/dev/pts/3 ruser=rksha rhost=  user=rksha,1
2025-07-26T14:55:01.422860,pacman.log,Jul 26 14:55:01	prod1	24521	kernel: [12346.455720] Kernel panic - attempted to kill init! exitcode=0x00000009,1
2025-07-26T14:55:01.483685,journalctl,Jul 26 14:54:45 bharch sudo[60631]:    rksha : TTY=pts/3 ; PWD=/home/rksha/Documents/Projects/log-anamoly-detector/Linux ; USER=root ; COMMAND=/usr/bin/python scripts/sim_ana.py,0
2025-07-26T14:55:01.532965,journalctl,Jul 26 14:54:45 bharch sudo[60631]: pam_unix(sudo:session): session opened for user root(uid=0) by rksha(uid=1000),0
2025-07-26T14:55:05.385635,pacman.log,Jul 26 14:55:05	LabSZ	18330	Did not receive identification string from 31.161.114.240,0
2025-07-26T14:55:07.837844,pacman.log,Jul 26 14:55:07	prod1	15989	Accepted password for ubuntu from 239.75.63.246 port 23923 ssh4,0
2025-07-26T14:55:12.127847,pacman.log,Jul 26 14:55:12	testvm	4562	kernel: [12345.851581] Kernel panic - not syncing: Fatal exception,1
2025-07-26T14:55:14.760079,pacman.log,Jul 26 14:55:14	LabSZ	3980	Received disconnect from 74.21.102.7: 99: Bye Bye [preauth],0
2025-07-26T14:55:17.248767,pacman.log,Jul 26 14:55:17	server	2428	PAM service(sshd) ignoring max retries; 8 > 4,0
2025-07-26T14:55:19.818162,pacman.log,Jul 26 14:55:19	testvm	24457	Accepted password for webmaster from 221.80.132.126 port 24585 ssh5,0
2025-07-26T14:55:23.285773,pacman.log,Jul 26 14:55:23	server	5071	Received disconnect from 91.161.168.230: 47: Closed due to user request [preauth],0
2025-07-26T14:55:26.898673,pacman.log,Jul 26 14:55:26	prod1	2853	pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=42.121.175.197,1
2025-07-26T14:55:30.877366,pacman.log,Jul 26 14:55:30	server	15700	Disconnecting: Too many authentication failures for fztu [preauth],1
2025-07-26T14:55:34.728965,pacman.log,Jul 26 14:55:34	LabSZ	10567	Accepted password for fztu from 47.42.70.88 port 13437 ssh3,0
2025-07-26T14:55:38.951478,pacman.log,Jul 26 14:55:38	LabSZ	7461	Connection closed by 162.197.230.252 [preauth],0
2025-07-26T14:55:43.819762,pacman.log,Jul 26 14:55:43	testvm	26788	Received disconnect from 210.53.224.214: 92: disconnected by user,0
2025-07-26T14:55:46.518878,pacman.log,Jul 26 14:55:46	prod1	2775	message repeated 5 times: [ Failed password for root from 19.100.199.164 port 19516 ssh4],1
2025-07-26T14:55:48.176156,journalctl,Jul 26 14:55:47 bharch sudo[60631]: pam_unix(sudo:session): session closed for user root,0
2025-07-26T16:40:24.441988,journalctl,Jul 26 16:38:12 bharch NetworkManager[2494]: <info>  [1753528092.2789] manager: NetworkManager state is now CONNECTED_SITE,0
2025-07-26T16:40:24.497605,journalctl,"Jul 26 16:38:12 bharch NetworkManager[2494]: <info>  [1753528092.2798] device (wlp0s20f3): Activation: successful, device activated.",0
2025-07-26T16:40:24.544745,journalctl,Jul 26 16:38:12 bharch NetworkManager[2494]: <info>  [1753528092.8277] manager: NetworkManager state is now CONNECTED_GLOBAL,0
2025-07-26T16:40:24.599559,journalctl,Jul 26 16:38:13 bharch NetworkManager[2494]: <info>  [1753528093.5338] policy: set 'NFSU' (wlp0s20f3) as default for IPv6 routing and DNS,0
2025-07-26T16:40:24.642989,journalctl,Jul 26 16:38:13 bharch wpa_supplicant[2520]: wlp0s20f3: CTRL-EVENT-SIGNAL-CHANGE above=1 signal=-49 noise=9999 txrate=26000,0
2025-07-26T16:40:24.719717,journalctl,Jul 26 16:38:22 bharch systemd[1]: NetworkManager-dispatcher.service: Deactivated successfully.,0
2025-07-26T16:40:24.783096,journalctl,Jul 26 16:40:21 bharch sudo[125458]:    rksha : TTY=pts/3 ; PWD=/home/rksha/Documents/Projects/log-anamoly-detector/Linux ; USER=root ; COMMAND=/usr/bin/python scripts/sim_ana.py,0
2025-07-26T16:40:24.826103,journalctl,Jul 26 16:40:21 bharch sudo[125458]: pam_unix(sudo:session): session opened for user root(uid=0) by rksha(uid=1000),0
2025-07-26T16:40:25.177296,pacman.log,Jul 26 16:40:25	prod1	5491	Received disconnect from 61.196.42.194: 78: Bye Bye [preauth],0
2025-07-26T16:40:28.604190,pacman.log,Jul 26 16:40:28	server	29237	kernel: myapp[772602]: segfault at 7f0a00000000 ip 00007f0a4e4c0000 sp 00007ffde1e07000 error 9 in libpthread-3.94.so[7f0a4e480000+19000],1
2025-07-26T16:40:32.053547,pacman.log,Jul 26 16:40:31	testvm	16041	Received disconnect from 104.193.241.247: 19: disconnected by user,0
2025-07-26T16:40:34.986756,pacman.log,Jul 26 16:40:34	server	11624	Connection closed by 97.139.23.84 [preauth],0
2025-07-26T16:40:38.171527,journalctl,Jul 26 16:40:37 bharch wpa_supplicant[2520]: wlp0s20f3: CTRL-EVENT-SIGNAL-CHANGE above=1 signal=-36 noise=9999 txrate=26000,0
2025-07-26T16:40:39.083418,pacman.log,Jul 26 16:40:39	server	18376	Received disconnect from 148.169.91.195: 98: Closed due to user request [preauth],0
2025-07-26T16:40:42.935098,pacman.log,Jul 26 16:40:42	LabSZ	21717	Received disconnect from 225.125.32.60: 15: Closed due to user request [preauth],0
2025-07-26T16:40:46.408900,pacman.log,Jul 26 16:40:46	LabSZ	13476	sudo: user1: command not allowed ; TTY=pts/1 ; PWD=/home/user6 ; USER=root ; COMMAND=/bin/cat /etc/shadow,1
2025-07-26T16:40:50.903627,pacman.log,Jul 26 16:40:50	LabSZ	1184	pam_unix(sshd:session): session opened for user backup by (uid=3),0
2025-07-26T16:40:55.563274,pacman.log,Jul 26 16:40:55	testvm	15598	Received disconnect from 49.125.234.11: 95: Closed due to user request [preauth],0
2025-07-26T16:40:58.882972,pacman.log,Jul 26 16:40:58	testvm	3180	sudo: pam_unix(sudo:auth): authentication failure; logname=admin4 uid=288173 euid=6 tty=/dev/pts/2 ruser=user1 rhost=  user=root,1
2025-07-26T16:41:03.549562,pacman.log,Jul 26 16:41:03	server	19476	pam_unix(sshd:session): session closed for user oracle,0
2025-07-26T16:41:08.118482,pacman.log,Jul 26 16:41:08	server	3051	PAM 9 more authentication failures; logname= uid=2 euid=6 tty=ssh ruser= rhost=33.67.255.216  user=guest,1
2025-07-26T16:41:12.770086,pacman.log,Jul 26 16:41:12	server	10131	Connection closed by 25.147.24.60 [preauth],0
2025-07-26T16:41:16.385776,pacman.log,Jul 26 16:41:16	server	15726	Received disconnect from 181.223.36.191: 59: disconnected by user,0
2025-07-26T16:41:21.144934,pacman.log,Jul 26 16:41:21	LabSZ	29717	Did not receive identification string from 111.199.41.127,0
2025-07-26T16:41:24.684580,pacman.log,Jul 26 16:41:24	LabSZ	20332	Received disconnect from 208.226.246.205: 26: Bye Bye [preauth],0
2025-07-26T16:41:27.446270,pacman.log,Jul 26 16:41:27	server	10013	reverse mapping checking getaddrinfo for ns.randomdomain.com [91.225.243.118] failed - POSSIBLE BREAK-IN ATTEMPT!,1
2025-07-26T16:41:30.655462,pacman.log,Jul 26 16:41:30	prod1	17395	Received disconnect from 162.15.210.25: 27: Closed due to user request [preauth],0
2025-07-26T16:41:33.774576,pacman.log,Jul 26 16:41:33	testvm	26597	error: Received disconnect from 201.101.63.44: 50600: com.jcraft.jsch.JSchException: Auth fail [preauth],1
2025-07-26T16:41:37.344416,pacman.log,Jul 26 16:41:37	LabSZ	10353	pam_unix(sshd:auth): check pass; user unknown,1
2025-07-26T16:41:39.813825,pacman.log,Jul 26 16:41:39	prod1	3246	sudo: fztu : 3 incorrect password attempts ; TTY=pts/2 ; PWD=/home/user2 ; USER=root ; COMMAND=/usr/bin/vim /etc/sudoers,1
2025-07-26T16:41:44.232244,pacman.log,Jul 26 16:41:44	server	12863	Received disconnect from 5.15.237.46: 38: Closed due to user request [preauth],0
2025-07-26T16:41:49.001734,pacman.log,Jul 26 16:41:48	server	22789	pam_unix(sshd:auth): check pass; user unknown,1
2025-07-26T16:41:51.992879,pacman.log,Jul 26 16:41:51	server	22941	Received disconnect from 68.51.190.46: 15: Closed due to user request [preauth],0
2025-07-26T16:41:56.506913,pacman.log,Jul 26 16:41:56	prod1	25612	PAM service(sshd) ignoring max retries; 7 > 3,0
2025-07-26T16:41:58.724645,pacman.log,Jul 26 16:41:58	server	5626	Connection closed by 184.12.122.223 [preauth],0
2025-07-26T16:42:03.103526,pacman.log,Jul 26 16:42:03	prod1	18822	pam_unix(sshd:session): session opened for user chen by (uid=1),0
2025-07-26T16:42:07.460338,pacman.log,Jul 26 16:42:07	testvm	2483	Received disconnect from 64.43.147.131: 17: disconnected by user,0
2025-07-26T16:42:10.583580,pacman.log,Jul 26 16:42:10	testvm	4301	Received disconnect from 110.53.45.180: 94: Closed due to user request [preauth],0
2025-07-26T16:42:15.330242,pacman.log,Jul 26 16:42:15	testvm	13303	pam_unix(sshd:session): session closed for user chen,0
2025-07-26T16:42:19.471072,pacman.log,Jul 26 16:42:19	testvm	17517	Disconnecting: Too many authentication failures for guest [preauth],1
2025-07-26T16:42:23.092814,pacman.log,Jul 26 16:42:23	server	20473	Received disconnect from 207.134.53.211: 19: disconnected by user,0
2025-07-26T16:42:27.725892,pacman.log,Jul 26 16:42:27	prod1	9102	PAM service(sshd) ignoring max retries; 9 > 4,0
2025-07-26T16:42:31.406002,pacman.log,Jul 26 16:42:31	prod1	26504	Accepted password for webmaster from 232.203.185.217 port 5654 ssh5,0
2025-07-26T16:42:33.630842,pacman.log,Jul 26 16:42:33	prod1	26553	input_userauth_request: invalid user admin [preauth],1
2025-07-26T16:42:38.382765,pacman.log,Jul 26 16:42:38	server	24001	pam_unix(sshd:auth): check pass; user unknown,1
2025-07-26T16:42:41.235017,pacman.log,Jul 26 16:42:41	prod1	7398	Connection closed by 161.224.227.68 [preauth],0
2025-07-26T16:42:46.155405,pacman.log,Jul 26 16:42:46	testvm	18772	Failed none for invalid user 1 from 78.2.121.67 port 51371 ssh9,1
2025-07-26T16:42:49.025835,pacman.log,Jul 26 16:42:48	LabSZ	3174	Received disconnect from 16.81.75.196: 17: disconnected by user,0
2025-07-26T16:42:51.941536,pacman.log,Jul 26 16:42:51	server	2844	Did not receive identification string from 52.95.119.156,0
2025-07-26T16:42:53.954313,pacman.log,Jul 26 16:42:53	testvm	28334	Received disconnect from 62.131.156.234: 41: disconnected by user,0
2025-07-26T16:42:58.429670,pacman.log,Jul 26 16:42:58	LabSZ	4443	Received disconnect from 214.140.80.65: 34: Bye Bye [preauth],0
2025-07-26T16:43:01.166665,pacman.log,Jul 26 16:43:01	testvm	26882	pam_unix(sshd:session): session opened for user pgadmin by (uid=2),0
2025-07-26T16:43:05.725778,pacman.log,Jul 26 16:43:05	testvm	19130	Did not receive identification string from 8.153.184.57,0
2025-07-26T16:43:10.564220,pacman.log,Jul 26 16:43:10	LabSZ	11717	pam_unix(sshd:auth): check pass; user unknown,1
2025-07-26T16:43:12.917729,pacman.log,Jul 26 16:43:12	testvm	28019	PAM service(sshd) ignoring max retries; 6 > 4,0
2025-07-26T16:43:15.328599,pacman.log,Jul 26 16:43:15	testvm	14191	pam_unix(sshd:session): session opened for user chen by (uid=4),0
2025-07-26T16:43:18.086150,pacman.log,Jul 26 16:43:18	prod1	28533	pam_unix(sshd:auth): authentication failure; logname= uid=6 euid=4 tty=ssh ruser= rhost=214.31.251.174,1
